date	Channel 1
08-12-2014 224429	8.1
08-12-2014 224529	8.2
08-12-2014 224629	8.2
08-12-2014 224729	8.3
08-12-2014 224829	8.2
08-12-2014 224929	8.2
08-12-2014 225029	7.9
08-12-2014 225129	8.0
08-12-2014 225229	7.9
08-12-2014 225329	7.9
08-12-2014 225429	8.2
08-12-2014 225529	8.2
08-12-2014 225629	7.8
08-12-2014 225729	8.2
08-12-2014 225829	7.8
08-12-2014 225929	8.2
08-12-2014 230030	8.1
08-12-2014 230130	8.2
08-12-2014 230230	8.2
08-12-2014 230330	7.9
08-12-2014 230430	7.9
08-12-2014 230530	8.0
08-12-2014 230630	7.9
08-12-2014 230730	7.9
08-12-2014 230830	7.8
08-12-2014 230930	7.9
08-12-2014 231030	8.0
08-12-2014 231130	8.1
08-12-2014 231230	8.2
08-12-2014 231330	7.9
08-12-2014 231430	8.2
08-12-2014 231530	8.0
08-12-2014 231630	7.8
08-12-2014 231731	7.9
08-12-2014 231831	8.2
08-12-2014 231931	8.2
08-12-2014 232031	8.0
08-12-2014 232131	7.9
08-12-2014 232231	7.8
08-12-2014 232331	7.8
08-12-2014 232431	7.9
08-12-2014 232531	8.0
08-12-2014 232631	7.8
08-12-2014 232731	7.8
08-12-2014 232831	7.8
08-12-2014 232931	8.0
08-12-2014 233031	8.2
08-12-2014 233131	7.9
08-12-2014 233232	7.8
08-12-2014 233332	8.0
08-12-2014 233432	7.8
08-12-2014 233532	7.8
08-12-2014 233632	7.8
08-12-2014 233732	7.9
08-12-2014 233832	7.9
08-12-2014 233932	7.9
08-12-2014 234032	7.8
08-12-2014 234132	7.8
08-12-2014 234232	7.8
08-12-2014 234332	7.9
08-12-2014 234432	7.9
08-12-2014 234532	7.8
08-12-2014 234632	7.7
08-12-2014 234732	7.8
08-12-2014 234833	7.8
08-12-2014 234933	7.7
08-12-2014 235033	7.8
08-12-2014 235133	7.7
08-12-2014 235233	7.7
08-12-2014 235333	7.7
08-12-2014 235433	7.6
08-12-2014 235533	7.6
08-12-2014 235633	7.4
08-12-2014 235733	7.6
08-12-2014 235833	7.8
08-12-2014 235933	7.6
09-12-2014 000033	7.8
09-12-2014 000133	7.8
09-12-2014 000233	7.8
09-12-2014 000333	7.8
09-12-2014 000433	7.6
09-12-2014 000534	7.7
09-12-2014 000634	7.6
09-12-2014 000734	7.6
09-12-2014 000834	7.7
09-12-2014 000934	7.6
09-12-2014 001034	7.8
09-12-2014 001134	7.7
09-12-2014 001234	7.6
09-12-2014 001334	7.6
09-12-2014 001434	7.7
09-12-2014 001534	7.8
09-12-2014 001634	7.7
09-12-2014 001734	7.6
09-12-2014 001834	7.4
09-12-2014 001934	7.3
09-12-2014 002034	7.6
09-12-2014 002134	7.4
09-12-2014 002234	7.7
09-12-2014 002335	7.7
09-12-2014 002435	7.5
09-12-2014 002535	7.8
09-12-2014 002635	7.6
09-12-2014 002735	7.5
09-12-2014 002835	7.6
09-12-2014 002935	7.6
09-12-2014 003035	7.6
09-12-2014 003135	7.3
